City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,kokopo,-4.352,152.2633,29.189999999999998,67,100,3.82,PG,1697416243
358,gadzhiyevo,69.2551,33.3362,5.050000000000011,91,98,11.15,RU,1697416243
359,veinticinco de mayo,-35.4323,-60.1727,17.210000000000036,59,2,1.34,AR,1697416244
360,revda,56.801,59.9303,7.900000000000034,91,100,5.87,RU,1697416244
361,antalaha,-14.9003,50.2788,21.680000000000007,94,55,1.66,MG,1697416244
362,qui nhon,13.7667,109.2333,25.27000000000004,88,100,1.89,VN,1697416244
363,vyazemskiy,47.5378,134.7525,3.340000000000032,53,93,6.57,RU,1697416245
364,touros,-5.1989,-35.4608,25.33000000000004,81,100,8.25,BR,1697416245
365,san sebastian de la gomera,28.0916,-17.1133,28.200000000000045,29,0,0.0,ES,1697416026
366,kingston,17.997,-76.7936,29.53000000000003,89,20,2.57,JM,1697415992
367,hirara,24.8,125.2833,26.920000000000016,53,75,6.17,JP,1697416246
368,iwye,53.9299,25.7727,5.080000000000041,71,39,5.75,BY,1697416246
369,fortuna,40.5982,-124.1573,21.629999999999995,81,0,3.09,US,1697416246
370,mount gambier,-37.8333,140.7667,12.590000000000032,51,97,5.9,AU,1697416245
371,dunedin,-45.8742,170.5036,15.600000000000023,37,100,2.51,NZ,1697416247
372,vizinga,61.0749,50.1031,7.189999999999998,87,100,3.91,RU,1697416247
373,celestun,20.8667,-90.4,26.470000000000027,79,100,7.87,MX,1697416247
374,wagar,16.1525,36.2032,28.640000000000043,64,64,3.19,SD,1697416248
375,dajabon,19.5488,-71.7083,27.210000000000036,71,100,0.78,DO,1697416248
376,pergine valsugana,46.065,11.238,11.300000000000011,45,0,3.09,IT,1697416248
377,flying fish cove,-10.4217,105.6791,25.82000000000005,94,100,4.63,CX,1697416249
378,kapuskasing,49.4169,-82.4331,6.050000000000011,87,100,4.63,CA,1697416249
379,rio grande,-32.035,-52.0986,19.060000000000002,87,100,9.12,BR,1697416249
380,polignano a mare,40.9959,17.2159,23.07000000000005,75,100,8.87,IT,1697416250
381,binka,21.0333,83.8,21.439999999999998,77,0,0.92,IN,1697416250
382,ujae,8.9322,165.7642,28.700000000000045,76,14,5.4,MH,1697416250
383,zhaobaoshan,29.9695,121.6875,19.010000000000048,59,0,1.93,CN,1697416251
384,westport,41.1415,-73.3579,13.430000000000007,82,0,1.54,US,1697416251
385,deschutes river woods,43.9915,-121.3584,20.379999999999995,55,0,4.63,US,1697416251
386,puerto leguizamo,-0.1934,-74.7819,21.450000000000045,97,60,0.8,CO,1697416251
387,charcas,23.1333,-101.1167,17.350000000000023,69,74,6.49,MX,1697416252
388,elkins,38.9259,-79.8467,8.400000000000034,92,100,1.54,US,1697416221
